Rk,Player,Age,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-
31,Fabio Abiuso,21,26,884,9.8,7,19,12,2,1,3,2,0,0,0,2.4,2.4,0.5,2.6,0.8,2.9,-0.4,-0.4,+0.5,0.13,19,0.11,0.29,7,36.8,11.5,0,19,0.11,0.29,7,36.8,11.5,0,101,170,59.4,8,8,4,0,11,1275,192,63,93,67.7,29,47,61.7,2,7,28.6,18,15,0,2,1,0,0,4,4,0,0,0,0,0,122,518,177,4,10,3,29,7,187,43,187,43,122,518,177,4,10,3,29,7,271,8,23,119,129,40,271,FW,7e63b39c
32,Matthis Abline,21,36,2948,32.8,35,1,0,11,2,13,10,1,1,0,8.5,7.7,3.8,,3.4,11.5,+0.5,+0.3,-1.8,0.11,79,0.13,0.36,28,35.4,15.0,0,79,0.13,0.36,28,35.4,15.0,0,351,538,65.2,27,23,15,4,48,5145,976,185,256,72.3,119,160,74.4,20,38,52.6,61,43,0,8,6,3,1,9,6,0,2,1,0,0,587,3670,1743,75,42,42,92,65,689,169,689,169,587,3670,1743,75,42,42,92,65,878,34,75,382,438,142,877,FW,0e46fa2f
33,Abner,24,27,1625,18.1,18,9,19,2,1,3,2,0,0,0,0.7,0.7,1.3,,2.6,2.0,+1.3,+1.3,-0.3,0.07,10,0.20,0.50,4,40.0,18.4,0,10,0.20,0.50,4,40.0,18.4,0,778,928,83.8,15,59,13,3,85,11316,4636,474,517,91.7,241,291,82.8,42,71,59.2,29,25,3,0,1,0,0,1,1,0,0,0,0,0,589,2419,1457,35,20,6,18,10,696,69,696,69,589,2419,1457,35,20,6,18,10,1087,51,301,501,292,27,1087,DF,7f9c5d2d
34,Zakaria Aboukhlal,24,27,1991,22.1,23,4,1,7,2,9,6,1,2,1,10.2,8.6,1.6,,2.0,10.2,-3.2,-2.6,+0.4,0.14,62,0.10,0.23,26,41.9,14.6,0,62,0.10,0.23,26,41.9,14.6,0,221,349,63.3,12,16,10,4,22,2789,753,145,193,75.1,56,94,59.6,6,15,40.0,34,19,0,4,6,4,1,7,3,0,1,0,3,0,375,1923,880,34,24,19,64,26,450,164,450,164,375,1923,880,34,24,19,64,26,613,6,59,196,363,113,611,MF,c2a6033c
35,Abdel Abqar,25,29,2463,27.4,29,0,0,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,0.4,1.2,-0.9,-0.9,+0.7,0.08,12,0.00,0.00,1,8.3,8.0,0,12,0.00,0.00,1,8.3,8.0,0,719,939,76.6,8,67,10,2,79,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,25,20,0,0,2,1,2,3,2,0,0,0,1,0,632,3531,2013,16,7,0,18,3,650,4,650,4,632,3531,2013,16,7,0,18,3,1251,160,659,545,58,25,1251,DF,2bc7f211
36,Tammy Abraham,26,45,1769,19.7,17,28,7,10,6,16,9,1,2,1,8.3,6.6,2.8,1.9,1.6,9.5,-3.3,-2.6,+3.2,0.20,44,0.20,0.43,21,47.7,13.2,1,44,0.20,0.43,21,47.7,13.2,1,186,274,67.9,18,16,10,0,33,2377,681,119,155,76.8,50,84,59.5,5,11,45.5,40,31,0,1,5,3,0,11,8,0,1,1,1,0,207,836,357,17,11,7,26,16,298,90,298,90,207,836,357,17,11,7,26,16,457,25,58,202,199,80,455,FW,f586779e
37,Mohammad Abu Fani,26,36,2275,25.3,24,12,1,3,7,10,3,0,0,0,0.5,0.5,1.8,,1.7,2.3,+0.5,+0.5,+5.2,0.05,46,0.07,0.30,10,21.7,24.3,0,46,0.07,0.30,10,21.7,24.3,0,379,500,75.8,15,41,13,2,60,7294,2259,163,181,90.1,147,184,79.9,61,99,61.6,30,20,8,0,1,1,0,3,2,1,0,0,0,0,398,2006,909,18,13,4,18,17,405,20,405,20,398,2006,909,18,13,4,18,17,608,12,144,305,169,11,608,MF,f417a1fa
38,Francis Abu,23,38,2315,25.7,25,13,1,0,5,5,0,0,0,0,0.8,0.8,2.3,0.3,2.0,3.1,-0.8,-0.8,+2.7,0.03,24,0.00,0.00,3,12.5,24.6,1,24,0.00,0.00,3,12.5,24.6,1,930,1228,75.7,21,155,18,4,160,16324,5655,392,510,76.9,413,511,80.8,92,148,62.2,64,46,7,0,6,0,5,8,5,0,0,2,0,1,764,3850,1398,7,34,2,24,17,706,40,706,40,764,3850,1398,7,34,2,24,17,1532,67,225,975,344,17,1532,MF,66fb354d
39,Giorgi Aburjania,29,10,317,3.5,3,7,4,0,0,0,0,0,0,0,0.3,0.3,0.6,,0.2,0.9,-0.3,-0.3,-0.6,0.32,1,0.00,0.00,1,100.0,10.8,0,1,0.00,0.00,1,100.0,10.8,0,115,138,83.3,9,17,1,0,22,1907,572,58,63,92.1,49,58,84.5,8,13,61.5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,71,288,181,3,3,0,4,1,102,4,102,4,71,288,181,3,3,0,4,1,167,7,30,109,30,3,167,MF,0921a46c
40,Federico Accornero,20,1,5,0.1,0,1,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,4,6,66.7,0,0,0,0,0,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,18,0,1,0,2,0,5,0,5,0,5,25,18,0,1,0,2,0,8,1,2,3,3,0,8,MF,83763653
41,Francesco Acerbi,36,33,2492,27.7,28,5,10,1,2,3,1,0,0,0,1.0,1.0,1.3,1.3,1.4,2.3,0.0,0.0,+0.7,0.10,10,0.10,0.33,3,30.0,10.6,0,10,0.10,0.33,3,30.0,10.6,0,1515,1653,91.7,12,64,8,5,71,27929,7850,525,562,93.4,869,915,95.0,103,137,75.2,24,23,0,0,1,0,0,2,2,0,0,0,0,0,1162,5254,2577,21,21,1,9,2,1374,25,1374,25,1162,5254,2577,21,21,1,9,2,1932,231,953,858,129,26,1932,DF,b96b595c
42,Alonso Aceves,23,17,1334,14.8,14,3,15,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,0.6,1.0,-0.4,-0.4,-0.6,0.04,11,0.00,0.00,4,36.4,22.6,0,11,0.00,0.00,4,36.4,22.6,0,629,760,82.8,4,34,1,0,51,12370,5005,207,232,89.2,342,379,90.2,72,127,56.7,10,9,1,0,0,0,0,0,0,0,0,0,0,0,515,2815,1554,11,10,2,8,0,549,22,549,22,515,2815,1554,11,10,2,8,0,928,79,460,387,88,12,928,DF,4ab21ca4
43,Joshua Acheampong,18,12,783,8.7,9,3,23,0,0,0,0,0,0,0,0.4,0.4,0.2,,0.3,0.6,-0.4,-0.4,-0.2,0.06,6,0.00,0.00,1,16.7,14.8,0,6,0.00,0.00,1,16.7,14.8,0,684,735,93.1,3,46,2,0,45,10995,2812,319,334,95.5,325,338,96.2,29,41,70.7,12,10,0,2,0,0,0,1,1,0,0,0,0,0,584,2881,1606,14,14,4,13,13,641,10,641,10,584,2881,1606,14,14,4,13,13,807,16,182,505,125,16,807,DF,b7e62e1d
44,Orseer Achihi,17,1,28,0.3,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1,0.00,,0,0.0,24.3,0,1,0.00,,0,0.0,24.3,0,5,8,62.5,0,1,0,0,1,75,30,2,2,100.0,3,5,60.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,93,32,1,1,1,2,1,14,4,14,4,14,93,32,1,1,1,2,1,15,0,3,8,4,1,15,FW,6647c1f0
45,Elias Achouri,25,29,1816,20.2,19,10,2,2,5,7,2,0,0,0,1.0,1.0,0.3,,0.5,1.3,-1.0,-1.0,+4.7,0.10,43,0.05,0.12,17,39.5,18.5,0,43,0.05,0.12,17,39.5,18.5,0,97,131,74.0,4,10,4,0,15,1405,272,49,58,84.5,36,45,80.0,5,9,55.6,12,11,0,0,1,0,0,1,1,0,0,0,0,0,114,696,296,9,4,5,11,6,131,35,131,35,114,696,296,9,4,5,11,6,173,1,18,67,91,17,173,MFFW,4dd2a0be
